"","Tauro-a-Muricholic acid","Tauroursodeoxycholic acid","Taurocholic acid","Glycoursodeoxycholic acid","Glycohyodeoxycholic acid","Glycocholic acid","Taurochenodeoxycholic acid","Taurodeoxycholic acid","Cholic acid","Ursodeoxycholic acid","Glycochenodeoxycholic acid","Glycodeoxycholic acid","Taurolithocholic acid","Chenodeoxycholic acid","Deoxycholic acid","Glycolithocholic acid","Lithocholic acid","Tyrosocholic acid","Phenylalanocholic acid","Leucholic acid","Ala-triHydroxylated BA","Arg-dihydroxylated BA","Arg-triHydroxylated BA","Asn-dihydroxylated BA 1","Asn-dihydroxylated BA 2","Asn-triHydroxylated BA","Cys-dihydroxylated BA","Cys-triHydroxylated BA","Gln-dihydroxylated BA","Gln-triHydroxylated BA","Glu-dihydroxylated BA","Glu-triHydroxylated BA","His-triHydroxylated BA","Lys-dihydroxylated BA","Lys-triHydroxylated BA","Met-triHydroxylated BA","Phe-dihydroxylated BA","Ser-dihydroxylated BA","Ser-triHydroxylated BA","Trp-triHydroxylated BA","Tyr-dihydroxylated BA"
"1",1013.44,9795.87,393713.69,12548.5,85.46,505146.5,185392.13,172053.92,560122.18,7456.49,238671.67,167097.03,4692.61,177136.58,210370.79,149.4,55.69,560.24,129.64,18.67,143.83,4798.69,1375.22,291.78,0.01,297.38,389.49,201.34,28.82,0.01,0,0.01,0.01,348.72,497.24,0.01,32.04,1024,744.18,0.01,289.05
"2",139.66,249.48,5538.62,82.65,7.43,3739.39,762.83,530.57,554622.53,4795.97,1456.51,476.59,7.63,81810.52,44651.95,0.08,9361.49,690.64,440.4,41.88,0.01,58.65,333.47,29.31,0.01,229.28,0.01,27.74,9.28,0.01,726.8,292.82,47.62,104.82,364.79,13.25,9.81,79.31,225.15,19.47,65.66
"3",889.33,11184.31,661644.75,51287.67,36.93,1772805.2,420614.6,343210.92,24625.18,211.16,1875856.52,1240580.47,9762.51,5869.91,5249.52,211.88,107.8,0.77,0.47,0.13,36.55,0,0,77.46,0.01,87.28,291.84,122.07,6.93,0.01,0,0.01,0.01,0.01,0,0.01,0.01,649.72,410.97,0.01,0.01
"4",6.66,0.09,8.44,0.04,0.12,7.67,2.74,0.61,2038.26,304.12,7.16,2.18,4.89,181.6,628.34,0.12,463.55,7.71,0.65,0.07,0.01,0,0,0.01,0.01,0,17.21,0.01,0,0.01,0,0.01,0.01,0.01,4.68,0.01,0.01,0,0,0.01,0.01
"5",566.29,5135.38,232156.84,19930.98,62.17,503966.13,110431.88,101546.39,138638.89,1488.71,280923.93,258867.94,2323.48,54079.26,50297.13,45.54,0.03,119.63,6.94,0.24,0.01,624.28,159.65,98.45,0.01,176.49,105.69,37.27,28.39,0.01,14.61,0.01,0.01,154.3,43.81,0.01,5.01,254.69,154.72,0.01,64.22
"6",11.96,1.87,286.96,5.21,6.97,250.67,102.21,44.57,53606.16,867.59,291.25,57.74,0.07,20064.62,8509.58,0.09,325.37,27.32,5.62,0.3,0.01,0,0,0.01,0.01,11.25,0.01,0.01,0,0.01,140.07,18.3,3.78,3.91,0,11.32,0.01,0,13.76,0.01,0.01
"7",49.03,173.33,11703.42,403.8,3.37,17435.97,4372.44,2414.21,414532.4,5418.45,16360.44,4049.88,49.73,71703.77,40082.76,15.68,442.51,580.5,394.55,50.12,0.01,139.98,0,70.28,0.01,351.38,16.44,0.01,0,0.01,221.83,199.34,32.01,119.31,376.54,10.63,19.88,237.29,236.7,0.01,65.71
"8",18.76,132.36,9036.64,191.22,5.56,12161.88,2873.33,1266.55,849584.45,5089.68,6634.89,2315.37,7.88,167886.89,67238.27,11.79,835.32,1873.41,1023.37,155.36,0.01,396.93,133.28,195.35,0.01,424.04,0.01,95.89,41.04,6.16,588.82,203.52,104.9,107.11,242,103.18,243.8,297.95,520.3,155.07,368.55
"9",0.26,11.34,6.89,0.23,0.67,46.44,0.1,0.04,11844.39,12074.64,15.84,5.28,0.08,735.08,174780.34,0.09,1805.71,0.29,46.05,19.24,0.01,0,0,0.01,7.62,12.6,0.01,0.01,6.24,0.01,777.44,81.62,0.01,0.01,0,79.95,46.29,0,0,6.17,9.12
"10",847.56,12833.57,431471.58,39104.76,24.79,857494.92,198719.13,81141.84,125482.07,1881.98,539532.53,163938.07,1843.11,41513.8,27187.26,6.99,7357.33,93.7,72.58,9.92,61.32,0,123.02,31.78,112.24,135.12,150.62,47.3,183.2,0.01,28.03,0.01,0.01,32.57,167.7,19.97,0.01,283.63,256.62,0.01,37.96
