Bile acid,order
Cholic acid,primarySum
Chenodeoxycholic acid,primarySum
Glycocholic acid,priConjSum
Taurocholic acid,priConjSum
Glycochenodeoxycholic acid,priConjSum
Taurochenodeoxycholic acid,priConjSum
Tauro-a-Muricholic acid,priConjSum
Deoxycholic acid,secondarySum
Lithocholic acid,secondarySum
Ursodeoxycholic acid,secondarySum
Glycodeoxycholic acid,secConjSum
Taurodeoxycholic acid,secConjSum
Glycolithocholic acid,secConjSum
Taurolithocholic acid,secConjSum
Glycoursodeoxycholic acid,secConjSum
Tauroursodeoxycholic acid,secConjSum
Glycohyodeoxycholic acid,secConjSum
Phenylalanocholic acid,microConj
Leucholic acid,microConj
Tyrosocholic acid,microConj
Ala-triHydroxylated BA,microConj
Arg-dihydroxylated BA,microConj
Arg-triHydroxylated BA,microConj
Asn-dihydroxylated BA 1,microConj
Asn-dihydroxylated BA 2,microConj
Asn-triHydroxylated BA,microConj
Cys-dihydroxylated BA,microConj
Cys-triHydroxylated BA,microConj
Gln-dihydroxylated BA,microConj
Gln-triHydroxylated BA,microConj
Glu-dihydroxylated BA,microConj
Glu-triHydroxylated BA,microConj
His-triHydroxylated BA,microConj
Lys-dihydroxylated BA,microConj
Lys-triHydroxylated BA,microConj
Met-triHydroxylated BA,microConj
Phe-dihydroxylated BA,microConj
Ser-dihydroxylated BA,microConj
Ser-triHydroxylated BA,microConj
Trp-triHydroxylated BA,microConj
Tyr-dihydroxylated BA,microConj
